Change Physical Footprint: Designator=1 Old Footprint=TI-PWP24 New Footprint=TI-PWP24
Change Physical Footprint: Designator=2 Old Footprint=RESC1608X55X30ML15T15 New Footprint=RESC1608X55X30ML15T15
Change Physical Footprint: Designator=3 Old Footprint=RESC1608X55X30ML15T15 New Footprint=RESC1608X55X30ML15T15
Change Physical Footprint: Designator=AI1 Old Footprint=0603_JUMPER New Footprint=0603_JUMPER
Change Physical Footprint: Designator=AI2 Old Footprint=0603_JUMPER New Footprint=0603_JUMPER
Change Physical Footprint: Designator=BAT1 Old Footprint=BU2032 New Footprint=BU2032
Change Physical Footprint: Designator=BEAT1 Old Footprint=0805_A New Footprint=0805_A
Change Physical Footprint: Designator=BI1 Old Footprint=0603_JUMPER New Footprint=0603_JUMPER
Change Physical Footprint: Designator=BI2 Old Footprint=0603_JUMPER New Footprint=0603_JUMPER
Change Physical Footprint: Designator=C1 Old Footprint=CAPC1608X92X38LL15T08 New Footprint=CAPC1608X92X38LL15T08
Change Physical Footprint: Designator=C2 Old Footprint=CAPC1608X92X38LL15T08 New Footprint=CAPC1608X92X38LL15T08
Change Physical Footprint: Designator=C3 Old Footprint=CAPC1608X92X38LL15T08 New Footprint=CAPC1608X92X38LL15T08
Change Physical Footprint: Designator=C4 Old Footprint=CAPC2113X100X50NL30T25 New Footprint=CAPC2113X100X50NL30T25
Change Physical Footprint: Designator=C5 Old Footprint=CAPC1608X90X35LL15T15 New Footprint=CAPC1608X90X35LL15T15
Change Physical Footprint: Designator=C6 Old Footprint=CAPC2013X94X50NL20T25 New Footprint=CAPC2013X94X50NL20T25
Change Physical Footprint: Designator=C7 Old Footprint=CAPC3225X220X20LL40 New Footprint=CAPC3225X220X20LL40
Change Physical Footprint: Designator=C8 Old Footprint=CAPC3225X220X20LL40 New Footprint=CAPC3225X220X20LL40
Change Physical Footprint: Designator=C9 Old Footprint=CAPC3225X220X20LL40 New Footprint=CAPC3225X220X20LL40
