Replace Part BAT1 BU2032 Battery in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with BU2032 Battery from Hengeveld.SCHLIB
Replace Part BEAT1 WE-LED_K1A2-2 in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with WE-LED_K1A2-2 from Altium Content Vault
Replace Part C1 CAP in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with CAP from Altium Content Vault
Replace Part C2 CAP in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with CAP from Altium Content Vault
Replace Part C3 CAP in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with CAP from Altium Content Vault
Replace Part P1 Nucleo in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with Nucleo from Hengeveld.SCHLIB
Replace Part P2 Header 4 in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with Header 4 from Hengeveld.SCHLIB
Replace Part R1 RES in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with RES from Altium Content Vault
Replace Part R2 RES in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with RES from Altium Content Vault
Replace Part R3 RES in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with RES from Altium Content Vault
Replace Part R4 RES in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with RES from Altium Content Vault
Replace Part R5 RES in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with RES from Altium Content Vault
Replace Part TP_IOREF1 Test Point in V:\Documents\GitHub\Embedded-Controller-ESE2\EmbeddedControlSystem_Hengeveld4331\microcontroller.SchDoc with Test Point from Hengeveld.SCHLIB
